Price,Open,High,Low,Close,ATR,ATR_TICKS
Ticker,ES=F,ES=F,ES=F,ES=F,,
Date,,,,,,
2024-12-17,6077.0,6079.25,6040.75,6053.75,,
2024-12-18,6053.5,6074.5,5840.0,5872.25,,
2024-12-19,5881.75,5938.0,5865.5,5868.75,,
2024-12-20,5879.5,5879.5,5800.75,5840.259765625,,
2024-12-23,6001.75,6043.0,5965.0,6036.0,,
2024-12-24,6037.75,6099.5,6030.0,6098.0,,
2024-12-26,6099.25,6107.5,6063.25,6095.25,,
2024-12-27,6092.0,6095.25,5982.75,6027.0,,
2024-12-30,6028.75,6036.25,5918.25,5958.75,,
2024-12-31,5955.0,5983.25,5917.25,5935.75,,
2025-01-02,5949.25,5995.25,5874.75,5916.5,,
2025-01-03,5921.0,5996.75,5911.25,5989.5,,
2025-01-06,5994.5,6068.25,5980.75,6020.5,,
2025-01-07,6028.0,6045.5,5935.0,5954.25,102.94573102678571,411.78
2025-01-08,5955.5,5975.0,5917.0,5959.25,104.33858816964286,417.35
2025-01-09,5955.0,5957.0,5929.25,5944.75,89.7314453125,358.93
2025-01-10,5943.75,5959.25,5845.25,5866.25,92.69573102678571,370.78
2025-01-13,5864.5,5883.25,5809.0,5874.5,92.37430245535714,369.5
2025-01-14,5887.25,5918.5,5842.5,5882.25,83.32142857142857,333.29
2025-01-15,5891.5,6001.25,5879.5,5989.0,87.05357142857143,348.21
2025-01-16,5988.5,6017.5,5961.75,5975.5,87.875,351.5
2025-01-17,5970.25,6051.5,5968.0,6033.5,85.80357142857143,343.21
2025-01-21,6032.25,6093.25,5994.5,6084.25,84.42857142857143,337.71
2025-01-22,6094.0,6135.75,6087.0,6120.5,83.39285714285714,333.57
2025-01-23,6120.0,6154.0,6101.5,6152.0,78.53571428571429,314.14
2025-01-24,6148.0,6162.25,6122.0,6133.25,75.30357142857143,301.21
2025-01-27,6102.25,6105.25,5948.0,6046.75,82.28571428571429,329.14
2025-01-28,6059.5,6105.5,6023.5,6097.0,80.25,321.0
2025-01-29,6090.75,6111.5,6042.25,6067.5,81.05357142857143,324.21
2025-01-30,6068.5,6116.25,6056.5,6099.25,83.17857142857143,332.71
2025-01-31,6106.0,6147.75,6057.75,6067.25,81.46428571428571,325.86
2025-02-03,5982.25,6062.0,5935.5,6022.25,85.57142857142857,342.29
2025-02-04,6069.0,6069.0,5987.0,6063.0,86.0,344.0
2025-02-05,6042.75,6092.0,6020.25,6086.5,82.42857142857143,329.71
2025-02-06,6090.25,6108.5,6070.0,6106.0,81.19642857142857,324.79
2025-02-07,6089.75,6123.25,6041.25,6049.5,81.08928571428571,324.36
2025-02-10,6016.0,6096.0,6014.0,6088.75,79.89285714285714,319.57
2025-02-11,6085.5,6098.75,6057.75,6092.25,79.14285714285714,316.57
2025-02-12,6090.75,6098.0,6020.75,6072.75,80.91071428571429,323.64
2025-02-13,6079.75,6138.0,6053.5,6135.25,84.07142857142857,336.29
2025-02-14,6131.75,6146.75,6121.25,6132.0,72.66071428571429,290.64
2025-02-18,6138.25,6157.75,6118.25,6146.75,69.625,278.5
2025-02-19,6143.75,6166.5,6129.25,6163.0,67.33928571428571,269.36
2025-02-20,6153.75,6159.5,6102.75,6136.5,67.375,269.5
2025-02-21,6132.5,6142.5,6024.5,6029.0,69.375,277.5
2025-02-24,6040.75,6067.5,5994.5,6000.75,65.17857142857143,260.71
2025-02-25,6006.5,6016.0,5924.0,5970.0,65.89285714285714,263.57
2025-02-26,5982.0,6023.75,5945.5,5970.75,66.35714285714286,265.43
2025-02-27,5980.0,6014.5,5873.0,5876.25,73.71428571428571,294.86
2025-02-28,5883.0,5971.0,5848.0,5963.25,76.64285714285714,306.57
2025-03-03,5967.5,6000.5,5821.75,5860.75,83.55357142857143,334.21
2025-03-04,5874.0,5884.0,5744.0,5789.5,90.625,362.5
2025-03-05,5832.0,5869.5,5750.75,5851.25,93.58928571428571,374.36
2025-03-06,5844.75,5853.5,5720.0,5746.25,97.08928571428571,388.36
2025-03-07,5766.0,5791.0,5673.0,5776.0,103.69642857142857,414.79
2025-03-10,5753.0,5757.75,5571.5,5620.75,115.48214285714286,461.93
2025-03-11,5622.0,5651.75,5534.0,5577.0,121.23214285714286,484.93
2025-03-12,5580.0,5675.0,5550.25,5604.75,125.83928571428571,503.36
2025-03-13,5596.5,5623.0,5509.25,5527.5,125.53571428571429,502.14
2025-03-14,5540.0,5648.75,5538.75,5640.0,128.98214285714286,515.93
2025-03-17,5626.75,5707.5,5599.0,5680.25,130.16071428571428,520.64
2025-03-18,5680.0,5686.25,5600.0,5618.0,130.73214285714286,522.93
2025-03-19,5618.5,5718.5,5606.25,5678.5,128.64285714285714,514.57
2025-03-20,5680.0,5714.25,5631.5,5662.5,125.76785714285714,503.07
2025-03-21,5664.0,5674.25,5597.5,5617.7998046875,118.48214285714286,473.93
2025-03-24,5740.0,5825.5,5739.0,5815.5,123.31787109375,493.27
2025-03-25,5813.0,5837.25,5802.25,5826.5,117.33572823660714,469.34
2025-03-26,5831.0,5836.5,5743.0,5759.5,114.47858537946429,457.91
2025-03-27,5737.25,5779.75,5720.0,5739.25,110.31787109375,441.27
2025-03-28,5741.75,5747.75,5602.25,5623.0,106.10358537946429,424.41
2025-03-31,5590.0,5672.75,5533.75,5653.25,107.62144252232143,430.49
2025-04-01,5644.25,5694.75,5600.25,5674.5,105.46072823660714,421.84
2025-04-02,5672.0,5773.25,5566.25,5712.25,112.12144252232143,448.49
2025-04-03,5550.5,5564.75,5415.25,5432.75,124.67501395089286,498.7
2025-04-04,5423.0,5435.0,5074.0,5110.25,142.71072823660714,570.84
2025-04-07,5007.0,5286.5,4832.0,5097.25,169.01429966517858,676.06
2025-04-08,5126.5,5305.25,4940.5,5020.25,187.05001395089286,748.2
2025-04-09,5006.25,5520.0,4871.75,5491.0,227.44287109375,909.77
2025-04-10,5502.5,5528.75,5146.75,5302.0,249.24644252232142,996.99
2025-04-11,5299.25,5418.25,5206.0,5391.25,249.57142857142858,998.29
2025-04-14,5452.5,5497.75,5391.0,5440.75,254.69642857142858,1018.79
2025-04-15,5431.75,5485.0,5413.0,5428.25,253.16071428571428,1012.64
2025-04-16,5403.75,5425.0,5251.0,5305.75,261.55357142857144,1046.21
2025-04-17,5308.0,5371.25,5285.5,5312.75,257.2857142857143,1029.14
2025-04-21,5283.75,5306.75,5127.25,5184.75,260.60714285714283,1042.43
2025-04-22,5182.5,5339.25,5171.75,5314.75,265.82142857142856,1063.29
