Price,Open,High,Low,Close,ATR,ATR_TICKS
Ticker,ES=F,ES=F,ES=F,ES=F,,
Date,,,,,,
2024-08-06,5250.0,5342.0,5221.75,5266.25,,
2024-08-07,5241.5,5359.25,5196.75,5227.5,,
2024-08-08,5208.25,5361.0,5182.0,5348.25,,
2024-08-09,5348.25,5385.25,5319.5,5370.25,,
2024-08-12,5364.25,5396.75,5347.75,5369.75,,
2024-08-13,5372.5,5461.25,5367.5,5459.0,,
2024-08-14,5457.5,5487.75,5438.75,5477.0,,
2024-08-15,5481.25,5571.75,5471.75,5567.5,,
2024-08-16,5568.5,5586.25,5536.5,5578.25,,
2024-08-19,5584.0,5631.75,5565.25,5630.0,,
2024-08-20,5629.5,5643.75,5607.75,5619.75,,
2024-08-21,5619.5,5655.25,5613.5,5641.5,,
2024-08-22,5642.0,5665.25,5582.75,5594.0,,
2024-08-23,5597.75,5662.25,5597.75,5652.5,83.14285714285714,332.57
2024-08-26,5650.5,5669.0,5619.75,5637.0,78.07142857142857,312.29
2024-08-27,5630.0,5649.5,5611.5,5644.75,69.17857142857143,276.71
2024-08-28,5643.75,5650.5,5576.0,5610.25,61.714285714285715,246.86
2024-08-29,5580.5,5663.75,5561.25,5610.0,64.33928571428571,257.36
2024-08-30,5618.5,5665.0,5594.25,5661.0,65.89285714285714,263.57
2024-09-03,5656.25,5669.75,5516.75,5541.75,70.125,280.5
2024-09-04,5538.5,5565.0,5506.75,5530.0,70.78571428571429,283.14
2024-09-05,5527.5,5557.25,5490.0,5512.25,68.44642857142857,273.79
2024-09-06,5513.0,5532.5,5394.0,5419.5,74.78571428571429,299.14
2024-09-09,5410.0,5493.0,5405.25,5479.5,76.30357142857143,305.21
2024-09-10,5488.25,5506.0,5448.25,5504.0,77.85714285714286,311.43
2024-09-11,5499.25,5567.5,5412.0,5561.25,85.98214285714286,343.93
2024-09-12,5558.0,5607.0,5540.25,5602.25,84.85714285714286,339.43
2024-09-13,5598.5,5641.5,5597.25,5629.75,83.14285714285714,332.57
2024-09-16,5622.75,5641.5,5609.25,5638.0,81.92857142857143,327.71
2024-09-17,5633.25,5675.5,5617.0,5639.0,83.39285714285714,333.57
2024-09-18,5639.5,5696.25,5613.75,5620.75,83.96428571428571,335.86
2024-09-19,5631.5,5737.5,5631.5,5717.75,84.98214285714286,339.93
2024-09-20,5714.75,5717.25,5699.25,5699.990234375,81.25,325.0
2024-09-23,5762.0,5784.5,5745.25,5776.75,76.35784040178571,305.43
2024-09-24,5774.0,5794.25,5754.75,5792.0,75.0185546875,300.07
2024-09-25,5792.25,5798.75,5768.0,5779.0,72.41141183035714,289.65
2024-09-26,5783.5,5830.0,5778.25,5804.5,66.21498325892857,264.86
2024-09-27,5804.25,5821.5,5782.0,5791.25,62.7685546875,251.07
2024-09-30,5784.0,5820.25,5756.25,5814.25,63.21498325892857,252.86
2024-10-01,5807.0,5822.5,5733.0,5759.75,58.500697544642854,234.0
2024-10-02,5760.25,5773.25,5724.0,5760.25,57.250697544642854,229.0
2024-10-03,5769.5,5772.75,5725.75,5749.5,57.44712611607143,229.79
2024-10-04,5745.75,5804.75,5741.0,5800.0,59.69712611607143,238.79
2024-10-07,5802.0,5808.0,5734.25,5744.75,60.786411830357146,243.15
2024-10-08,5752.5,5806.75,5725.25,5800.5,60.71498325892857,242.86
2024-10-09,5799.25,5846.5,5780.75,5841.25,57.07212611607143,228.29
2024-10-10,5836.0,5844.0,5811.5,5829.0,58.07212611607143,232.29
2024-10-11,5831.0,5868.25,5816.0,5859.75,55.767857142857146,223.07
2024-10-14,5854.5,5918.5,5850.0,5908.25,57.839285714285715,231.36
2024-10-15,5914.25,5915.5,5850.0,5862.75,60.32142857142857,241.29
2024-10-16,5861.0,5892.75,5853.25,5887.0,59.44642857142857,237.79
2024-10-17,5882.75,5927.25,5871.25,5887.0,60.625,242.5
2024-10-18,5888.25,5915.5,5876.25,5906.0,58.857142857142854,235.43
2024-10-21,5911.5,5915.5,5865.0,5896.25,56.07142857142857,224.29
2024-10-22,5900.75,5904.25,5861.25,5892.5,55.625,222.5
2024-10-23,5887.25,5893.75,5801.0,5837.75,58.892857142857146,235.57
2024-10-24,5844.0,5870.0,5822.5,5849.0,57.732142857142854,230.93
2024-10-25,5853.25,5900.75,5835.0,5846.0,57.160714285714285,228.64
2024-10-28,5857.0,5884.5,5857.0,5861.5,54.089285714285715,216.36
2024-10-29,5867.0,5883.75,5837.5,5871.0,52.69642857142857,210.79
2024-10-30,5883.0,5893.0,5840.25,5852.0,54.142857142857146,216.57
2024-10-31,5840.0,5844.0,5733.25,5738.5,58.892857142857146,235.57
2024-11-01,5742.0,5803.75,5732.5,5758.25,59.089285714285715,236.36
2024-11-04,5741.75,5776.5,5724.25,5743.25,58.142857142857146,232.57
2024-11-05,5752.25,5823.25,5735.0,5812.25,61.625,246.5
2024-11-06,5820.25,5967.0,5814.75,5958.25,68.67857142857143,274.71
2024-11-07,5963.5,6013.0,5951.0,6003.75,70.30357142857143,281.21
2024-11-08,6007.75,6040.5,5990.25,6025.25,70.28571428571429,281.14
2024-11-11,6030.0,6053.25,6013.5,6031.75,70.05357142857143,280.21
2024-11-12,6029.25,6036.5,5986.75,6013.0,66.98214285714286,267.93
2024-11-13,6012.25,6035.25,5991.75,6016.0,66.69642857142857,266.79
2024-11-14,6017.75,6025.25,5964.25,5978.25,66.35714285714286,265.43
2024-11-15,5972.0,5974.25,5876.75,5896.5,70.85714285714286,283.43
2024-11-18,5899.75,5933.0,5886.5,5920.0,70.875,283.5
2024-11-19,5919.0,5947.5,5855.0,5938.75,73.71428571428571,294.86
2024-11-20,5937.75,5957.75,5880.0,5937.75,70.78571428571429,283.14
2024-11-21,5937.25,5985.0,5905.25,5970.5,71.39285714285714,285.57
2024-11-22,5967.0,5993.5,5940.75,5987.0,71.42857142857143,285.71
2024-11-25,6006.0,6040.0,5982.5,6006.5,69.23214285714286,276.93
2024-11-26,6013.25,6044.0,5976.25,6038.25,63.017857142857146,252.07
2024-11-27,6041.75,6047.0,6000.25,6015.0,61.92857142857143,247.71
2024-11-29,6015.0,6060.0,6014.75,6051.5,61.57142857142857,246.29
2024-12-02,6051.5,6068.5,6036.0,6061.75,61.05357142857143,244.21
2024-12-03,6064.0,6070.75,6047.5,6063.25,59.160714285714285,236.64
2024-12-04,6067.0,6102.25,6063.0,6098.5,58.857142857142854,235.43
2024-12-05,6095.25,6107.25,6081.5,6088.75,56.339285714285715,225.36
