Price,Open,High,Low,Close,ATR,ATR_TICKS
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,,
Date,,,,,,
2024-04-25,17450.0,17827.5,17308.25,17567.5,,
2024-04-26,17808.25,17901.5,17668.25,17845.75,,
2024-04-29,17864.75,17949.0,17791.25,17904.25,,
2024-04-30,17918.5,17920.25,17473.5,17571.25,,
2024-05-01,17462.5,17793.25,17399.25,17438.25,,
2024-05-02,17487.0,17755.25,17386.25,17649.75,,
2024-05-03,17744.25,18050.25,17719.5,18000.75,,
2024-05-06,18047.5,18201.25,17983.75,18195.5,,
2024-05-07,18189.5,18266.25,18151.0,18199.5,,
2024-05-08,18194.0,18242.25,18072.5,18186.5,,
2024-05-09,18160.75,18240.25,18103.75,18214.5,,
2024-05-10,18226.0,18348.0,18188.5,18255.0,,
2024-05-13,18238.0,18336.25,18228.75,18295.5,,
2024-05-14,18282.0,18433.0,18165.5,18415.0,271.05357142857144,1084.21
2024-05-15,18409.75,18707.0,18393.0,18691.75,256.39285714285717,1025.57
2024-05-16,18693.25,18760.75,18633.25,18650.0,241.64285714285714,966.57
2024-05-17,18642.0,18686.75,18545.0,18635.25,240.5,962.0
2024-05-20,18633.5,18794.5,18633.0,18763.0,220.125,880.5
2024-05-21,18746.0,18808.75,18678.0,18799.25,201.32142857142858,805.29
2024-05-22,18798.25,18891.0,18684.25,18786.75,189.73214285714286,758.93
2024-05-23,18860.5,19023.25,18621.5,18696.25,189.82142857142858,759.29
2024-05-24,18684.0,18926.0,18680.0,18876.0,191.85714285714286,767.43
2024-05-28,18874.75,18980.5,18819.5,18940.5,195.125,780.5
2024-05-29,18949.5,18949.75,18740.0,18802.75,197.98214285714286,791.93
2024-05-30,18753.0,18787.0,18546.25,18606.5,206.55357142857142,826.21
2024-05-31,18590.75,18668.25,18241.25,18591.0,225.66071428571428,902.64
2024-06-03,18590.25,18755.5,18435.75,18646.25,240.82142857142858,963.29
2024-06-04,18662.5,18753.25,18511.25,18701.0,239.0,956.0
2024-06-05,18711.0,19090.5,18696.25,19074.25,244.73214285714286,978.93
2024-06-06,19089.5,19124.5,19017.25,19060.25,243.28571428571428,973.14
2024-06-07,19064.0,19155.0,18940.0,19037.75,248.51785714285714,994.07
2024-06-10,19025.0,19129.75,18974.25,19109.75,248.08928571428572,992.36
2024-06-11,19107.25,19257.5,18994.5,19242.25,257.5357142857143,1030.14
2024-06-12,19248.0,19612.25,19233.5,19496.5,269.82142857142856,1079.29
2024-06-13,19602.0,19691.0,19500.0,19602.5,255.01785714285714,1020.07
2024-06-14,19602.75,19699.5,19501.5,19685.5,251.58928571428572,1006.36
2024-06-17,19695.0,20001.0,19640.5,19921.25,265.8392857142857,1063.36
2024-06-18,19918.5,19996.5,19851.75,19919.25,261.19642857142856,1044.79
2024-06-20,19930.25,20095.0,19694.25,19763.25,271.5,1086.0
2024-06-21,19781.25,19819.25,19687.5,19747.2890625,250.41071428571428,1001.64
2024-06-24,20014.75,20030.25,19728.0,19750.75,249.16071428571428,996.64
2024-06-25,19756.0,19981.25,19726.0,19972.25,250.10714285714286,1000.43
2024-06-26,19973.0,20070.5,19901.0,20012.5,234.05357142857142,936.21
2024-06-27,19946.0,20116.75,19874.25,20039.5,243.71428571428572,974.86
2024-06-28,20063.25,20273.25,19906.25,19927.25,254.57142857142858,1018.29
2024-07-01,19970.0,20074.0,19811.75,20052.0,262.19642857142856,1048.79
2024-07-02,20045.75,20259.25,19910.0,20255.25,268.35714285714283,1073.43
2024-07-03,20241.0,20435.25,20205.0,20411.5,257.75,1031.0
2024-07-05,20419.25,20639.5,20361.0,20620.75,263.75,1055.0
2024-07-08,20591.5,20688.0,20579.25,20659.75,257.375,1029.5
2024-07-09,20681.0,20771.75,20615.75,20678.5,242.76785714285714,971.07
2024-07-10,20686.0,20916.75,20684.5,20899.75,249.44642857142858,997.79
2024-07-11,20895.5,20983.75,20377.25,20441.75,264.14285714285717,1056.57
2024-07-12,20432.75,20741.0,20335.0,20524.0,283.73214285714283,1134.93
2024-07-15,20580.0,20797.0,20506.25,20583.75,282.9107142857143,1131.64
2024-07-16,20628.0,20684.5,20464.5,20598.0,280.39285714285717,1121.57
2024-07-17,20591.0,20597.75,19965.75,19997.5,313.44642857142856,1253.79
2024-07-18,20024.25,20162.5,19758.75,19899.25,324.9642857142857,1299.86
2024-07-19,19955.0,19979.75,19654.0,19713.0,322.01785714285717,1288.07
2024-07-22,19749.0,20044.75,19718.75,20001.0,326.98214285714283,1307.93
2024-07-23,19982.0,20084.75,19868.25,19925.0,317.5,1270.0
2024-07-24,19883.0,19883.0,19168.75,19203.25,355.07142857142856,1420.29
2024-07-25,19260.0,19390.5,18883.25,18992.25,371.4107142857143,1485.64
2024-07-26,19003.0,19297.75,18995.0,19174.5,385.4642857142857,1541.86
2024-07-29,19171.75,19377.25,19113.25,19209.25,393.17857142857144,1572.71
2024-07-30,19217.0,19319.75,18725.0,18936.25,418.64285714285717,1674.57
2024-07-31,18865.75,19648.0,18861.75,19505.25,431.48214285714283,1725.93
2024-08-01,19593.25,19717.0,18854.0,19023.25,464.125,1856.5
2024-08-02,18956.5,18979.75,18385.75,18556.25,488.89285714285717,1955.57
2024-08-05,18390.0,18390.0,17351.0,18013.25,559.2678571428571,2237.07
2024-08-06,18165.75,18483.25,17966.0,18179.0,551.0535714285714,2204.21
2024-08-07,18033.0,18558.5,17836.25,17966.5,573.8035714285714,2295.21
2024-08-08,17873.0,18593.5,17741.75,18525.25,611.375,2445.5
2024-08-09,18550.25,18674.5,18383.0,18616.0,608.5,2434.0
2024-08-12,18590.0,18765.25,18515.0,18639.5,610.9107142857143,2443.64
2024-08-13,18648.25,19122.5,18628.5,19104.25,592.1785714285714,2368.71
2024-08-14,19099.25,19203.5,18925.5,19115.0,575.8035714285714,2303.21
2024-08-15,19142.5,19603.25,19100.5,19581.25,589.8928571428571,2359.57
2024-08-16,19570.25,19683.0,19447.5,19605.75,587.8571428571429,2351.43
2024-08-19,19629.0,19871.75,19525.25,19857.75,570.125,2280.5
2024-08-20,19857.75,19931.0,19743.0,19809.5,527.3928571428571,2109.57
2024-08-21,19803.0,19981.75,19771.5,19909.5,480.76785714285717,1923.07
2024-08-22,19921.25,20025.25,19542.0,19578.25,469.75,1879.0
2024-08-23,19621.5,19904.25,19591.75,19790.75,406.94642857142856,1627.79
2024-08-26,19787.75,19846.25,19505.5,19591.25,394.3392857142857,1577.36
2024-08-27,19558.75,19694.25,19441.5,19653.75,360.80357142857144,1443.21
2024-08-28,19635.5,19691.0,19227.25,19415.75,333.0892857142857,1332.36
2024-08-29,19217.0,19693.5,19140.25,19393.25,351.7857142857143,1407.14
2024-08-30,19445.75,19632.75,19370.5,19623.0,352.64285714285717,1410.57
2024-09-03,19599.0,19683.0,18911.0,19006.5,372.5,1490.0
2024-09-04,18993.75,19114.75,18825.75,18962.5,373.2857142857143,1493.14
2024-09-05,18965.75,19150.5,18827.25,18963.5,360.4642857142857,1441.86
2024-09-06,18921.0,18972.25,18339.75,18458.25,388.82142857142856,1555.29
2024-09-09,18400.0,18734.5,18386.0,18692.25,388.9642857142857,1555.86
2024-09-10,18727.0,18878.5,18582.25,18864.0,396.69642857142856,1586.79
2024-09-11,18837.75,19293.5,18547.0,19271.0,435.0,1740.0
2024-09-12,19241.5,19483.5,19185.0,19447.25,421.80357142857144,1687.21
2024-09-13,19419.5,19577.25,19398.25,19530.25,411.30357142857144,1645.21
2024-09-16,19498.0,19546.5,19299.25,19433.0,404.625,1618.5
2024-09-17,19426.5,19615.5,19341.0,19439.25,406.17857142857144,1624.71
2024-09-18,19451.0,19660.0,19331.0,19349.25,396.55357142857144,1586.21
2024-09-19,19420.5,19966.25,19408.75,19850.25,401.10714285714283,1604.43
2024-09-20,19831.25,19838.25,19746.5,19808.009765625,389.7857142857143,1559.14
