Price,Open,High,Low,Close,ATR,ATR_TICKS
Ticker,RTY=F,RTY=F,RTY=F,RTY=F,,
Date,,,,,,
2025-05-05,2026.800048828125,2026.9000244140625,2002.300048828125,2010.9000244140625,,
2025-05-06,2010.9000244140625,2012.0,1977.4000244140625,1988.9000244140625,,
2025-05-07,1981.9000244140625,2013.0,1981.0999755859375,1995.300048828125,,
2025-05-08,1996.800048828125,2048.5,1993.5999755859375,2033.300048828125,,
2025-05-09,2031.0,2043.5,2019.9000244140625,2028.800048828125,,
2025-05-12,2074.39990234375,2139.60009765625,2053.800048828125,2100.300048828125,,
2025-05-13,2102.89990234375,2120.0,2086.300048828125,2108.300048828125,,
2025-05-14,2107.0,2109.39990234375,2085.60009765625,2089.199951171875,,
2025-05-15,2088.699951171875,2105.89990234375,2074.300048828125,2101.39990234375,,
2025-05-16,2105.800048828125,2121.60009765625,2097.60009765625,2119.39990234375,,
2025-05-19,2100.89990234375,2110.60009765625,2081.60009765625,2109.5,,
2025-05-20,2106.10009765625,2117.0,2097.10009765625,2110.800048828125,,
2025-05-21,2109.39990234375,2110.800048828125,2046.800048828125,2051.5,,
2025-05-22,2050.199951171875,2062.10009765625,2027.0999755859375,2050.199951171875,39.299961635044646,393.0
2025-05-23,2054.0,2060.0,1981.5,2042.9000244140625,43.14996337890625,431.5
2025-05-27,2043.0,2097.0,2041.300048828125,2093.699951171875,44.6571044921875,446.57
2025-05-28,2096.89990234375,2097.89990234375,2068.800048828125,2072.300048828125,44.45709228515625,444.57
2025-05-29,2071.300048828125,2130.60009765625,2061.199951171875,2078.0,45.49281529017857,454.93
2025-05-30,2075.10009765625,2078.300048828125,2050.89990234375,2068.300048828125,45.764256068638396,457.64
2025-06-02,2060.199951171875,2076.699951171875,2042.199951171875,2073.300048828125,40.31425258091518,403.14
2025-06-03,2073.199951171875,2112.10009765625,2053.800048828125,2106.10009765625,42.071402413504465,420.71
2025-06-04,2106.5,2118.199951171875,2096.89990234375,2100.300048828125,41.892848423549104,418.93
2025-06-05,2099.60009765625,2116.10009765625,2084.699951171875,2099.39990234375,41.87858363560268,418.79
2025-06-06,2098.0,2136.10009765625,2097.699951171875,2133.5,42.90716552734375,429.07
2025-06-09,2136.0,2157.5,2131.39990234375,2147.39990234375,42.07147216796875,420.71
2025-06-10,2147.699951171875,2168.60009765625,2142.5,2159.39990234375,42.51434326171875,425.14
2025-06-11,2159.699951171875,2194.10009765625,2146.800048828125,2150.39990234375,41.32148960658482,413.21
2025-06-12,2147.10009765625,2151.300048828125,2124.60009765625,2141.199951171875,40.72862025669643,407.29
2025-06-13,2139.10009765625,2139.10009765625,2071.800048828125,2101.5,40.07861328125,400.79
2025-06-16,2094.800048828125,2138.0,2087.699951171875,2125.0,39.692905970982146,396.93
2025-06-17,2127.300048828125,2127.5,2098.199951171875,2102.699951171875,39.707205636160715,397.07
2025-06-18,2100.0,2133.0,2091.699951171875,2113.39990234375,37.70005580357143,377.0
2025-06-20,2115.699951171875,2142.5,2075.10009765625,2128.860107421875,40.557181222098215,405.57
2025-06-23,2107.60009765625,2151.0,2098.800048828125,2149.5,41.821463448660715,418.21
2025-06-24,2150.199951171875,2182.800048828125,2148.699951171875,2177.89990234375,40.0928955078125,400.93
2025-06-25,2176.5,2181.5,2149.199951171875,2153.300048828125,40.878609793526785,408.79
2025-06-26,2152.0,2189.60009765625,2149.89990234375,2187.60009765625,41.471470424107146,414.71
2025-06-27,2189.199951171875,2207.0,2173.60009765625,2188.800048828125,41.114310128348215,411.14
2025-06-30,2189.5,2203.199951171875,2186.39990234375,2191.699951171875,40.450020926339285,404.5
2025-07-01,2188.5,2238.800048828125,2174.0,2213.39990234375,43.214303152901785,432.14
2025-07-02,2213.89990234375,2247.699951171875,2207.800048828125,2244.300048828125,42.685721261160715,426.86
2025-07-03,2245.800048828125,2280.0,2244.300048828125,2262.699951171875,43.328578404017854,433.29
2025-07-04,2262.0,2262.0,2235.699951171875,2239.0,40.300013950892854,403.0
2025-07-07,2256.10009765625,2260.60009765625,2214.89990234375,2229.10009765625,39.97145298549107,399.71
2025-07-08,2223.60009765625,2254.89990234375,2219.10009765625,2245.10009765625,40.435721261160715,404.36
2025-07-09,2244.89990234375,2270.699951171875,2233.60009765625,2268.39990234375,40.135707310267854,401.36
2025-07-10,2268.60009765625,2292.60009765625,2260.199951171875,2280.0,37.63572474888393,376.36
2025-07-11,2281.0,2284.39990234375,2244.10009765625,2247.60009765625,36.785714285714285,367.86
2025-07-14,2237.800048828125,2263.60009765625,2225.5,2262.5,37.07142857142857,370.71
2025-07-15,2261.39990234375,2273.39990234375,2212.10009765625,2218.300048828125,39.14283970424107,391.43
2025-07-16,2213.5,2243.5,2198.0,2239.60009765625,39.55711146763393,395.57
2025-07-17,2237.60009765625,2271.800048828125,2228.199951171875,2267.5,40.285696847098215,402.86
2025-07-18,2268.5,2283.800048828125,2248.10009765625,2251.0,41.635689871651785,416.36
2025-07-21,2251.300048828125,2272.39990234375,2240.5,2242.300048828125,39.285679408482146,392.86
2025-07-22,2246.800048828125,2266.10009765625,2234.10009765625,2260.699951171875,38.721400669642854,387.21
2025-07-23,2263.89990234375,2296.5,2262.300048828125,2294.800048828125,38.728550502232146,387.29
2025-07-24,2292.699951171875,2293.0,2262.699951171875,2263.60009765625,39.092843191964285,390.93
2025-07-25,2267.10009765625,2276.10009765625,2252.199951171875,2271.300048828125,37.535696847098215,375.36
2025-07-28,2282.89990234375,2293.199951171875,2261.0,2269.300048828125,37.278564453125,372.79
2025-07-29,2267.89990234375,2284.800048828125,2247.199951171875,2253.60009765625,37.314296177455354,373.14
2025-07-30,2255.199951171875,2276.0,2226.0,2241.5,38.57142857142857,385.71
2025-07-31,2228.5,2245.699951171875,2213.800048828125,2220.199951171875,37.971435546875,379.71
2025-08-01,2217.300048828125,2223.5,2146.800048828125,2173.10009765625,40.728567940848215,407.29
2025-08-04,2173.39990234375,2228.300048828125,2167.10009765625,2220.10009765625,40.721435546875,407.21
2025-08-05,2228.39990234375,2236.39990234375,2205.800048828125,2232.10009765625,39.657139369419646,396.57
2025-08-06,2234.199951171875,2251.699951171875,2216.89990234375,2229.10009765625,39.028564453125,390.29
2025-08-07,2230.0,2254.39990234375,2208.10009765625,2221.800048828125,39.785696847098215,397.86
2025-08-08,2226.199951171875,2238.89990234375,2219.800048828125,2226.10009765625,38.871407645089285,388.71
2025-08-11,2233.699951171875,2239.5,2220.300048828125,2224.800048828125,37.957118443080354,379.57
2025-08-12,2224.800048828125,2293.60009765625,2222.89990234375,2291.199951171875,40.449986049107146,404.5
2025-08-13,2292.0,2338.10009765625,2290.39990234375,2336.10009765625,41.564278738839285,415.64
2025-08-14,2332.300048828125,2337.0,2284.199951171875,2305.199951171875,43.62855747767857,436.29
2025-08-15,2306.5,2319.60009765625,2281.699951171875,2292.699951171875,44.035714285714285,440.36
2025-08-18,2289.5,2306.5,2289.39990234375,2301.60009765625,42.57142857142857,425.71
2025-08-19,2301.60009765625,2311.39990234375,2278.10009765625,2283.60009765625,41.37855747767857,413.79
2025-08-20,2283.89990234375,2286.800048828125,2257.800048828125,2274.800048828125,41.171421595982146,411.71
2025-08-21,2276.60009765625,2284.0,2258.10009765625,2280.60009765625,37.5428466796875,375.43
2025-08-22,2283.5,2374.89990234375,2274.60009765625,2368.89990234375,40.335693359375,403.36
2025-08-25,2369.300048828125,2373.5,2342.60009765625,2344.10009765625,40.357125418526785,403.57
2025-08-26,2346.10009765625,2368.699951171875,2330.800048828125,2364.10009765625,40.578543526785715,405.79
2025-08-27,2365.10009765625,2383.0,2355.0,2379.699951171875,39.271414620535715,392.71
2025-08-28,2381.39990234375,2398.60009765625,2373.300048828125,2382.199951171875,39.714285714285715,397.14
2025-08-29,2382.800048828125,2390.5,2362.199951171875,2369.800048828125,40.364292689732146,403.64
2025-09-02,2373.0,2376.5,2326.10009765625,2357.0,38.914271763392854,389.14
2025-09-03,2353.0,2370.10009765625,2338.39990234375,2353.699951171875,37.771414620535715,377.71
2025-09-04,2357.39990234375,2385.300048828125,2352.89990234375,2383.300048828125,36.314278738839285,363.14
2025-09-05,2382.0,2413.5,2365.60009765625,2393.5,37.02854701450893,370.29
2025-09-08,2391.800048828125,2404.39990234375,2379.699951171875,2398.39990234375,37.57139369419643,375.71
2025-09-09,2398.199951171875,2404.699951171875,2369.89990234375,2384.60009765625,37.678553989955354,376.79
2025-09-10,2378.800048828125,2401.0,2370.199951171875,2379.699951171875,37.80712890625,378.07
2025-09-11,2376.0,2424.699951171875,2370.0,2423.10009765625,39.86427525111607,398.64
